Component_Name,Category,Price_INR,Efficiency,Reliability,Compatibility,Role
LG Air Purifier,HVAC,4511,6.42,6.35,"Wi-Fi, Google Home, Alexa",Climate control
Kangaroo Motion Sensor,Security,8051,8.06,7.17,"Wi-Fi, Bluetooth",Access control
TP-Link Consumption Monitor,Energy Management,1346,6.78,5.49,"Thread, Matter",Renewable integration
Nanoleaf Color Light,Lighting,1288,5.96,6.34,"HomeKit, Alexa",Circadian rhythm lighting
Nanoleaf Track Light,Lighting,3185,7.8,7.61,"Google Home, Alexa, Matter",Circadian rhythm lighting
Schlage Alarm System,Security,11870,8.98,8.67,"Google Home, Alexa, Matter",Access control
Nest Facial Recognition Camera,Security,21868,10.0,10.0,"Wi-Fi, HomeKit",Perimeter monitoring
Nanoleaf Pendant Light,Lighting,4523,8.91,8.41,"HomeKit, Google Home, Matter",Circadian rhythm lighting
Wyze Garage Door Controller,Security,10908,8.36,7.79,"HomeKit, Alexa",Door security
Sense Grid Tie Inverter,Energy Management,8159,10.0,9.1,"Wi-Fi, HomeKit",Energy monitoring
Fujitsu Air Purifier,HVAC,8197,7.92,8.34,"HomeKit, Google Home, Matter",Air quality management
Nest Perimeter Sensor,Security,7630,8.28,8.18,"Google Home, Alexa, Matter",Emergency detection
Wiz Garden Light,Lighting,3983,8.26,7.73,"Thread, Matter",Energy-efficient lighting
Eufy Motion Sensor,Security,7980,7.64,6.93,"HomeKit, Google Home, Matter",Asset protection
Fujitsu Heater,HVAC,4869,6.56,6.64,"Google Home, Alexa, Matter",Humidity control
Bosch Temperature Sensor,HVAC,5667,6.39,7.2,"Wi-Fi, Google Home, Alexa",Temperature regulation
Kangaroo Facial Recognition Camera,Security,13242,9.32,8.6,"HomeKit, Alexa",Emergency detection
Daikin Ceiling Fan,HVAC,3218,6.26,6.56,"Wi-Fi, Bluetooth",Temperature regulation
SimpliSafe Security Camera,Security,8305,9.03,7.4,"Zigbee, Z-Wave",Access control
Mitsubishi HVAC Zoning System,HVAC,4045,6.57,6.25,"HomeKit, Alexa",Temperature regulation
Leviton Energy Monitor,Energy Management,4554,7.73,6.97,"HomeKit, Alexa",Energy monitoring
Logitech Garage Door Controller,Security,10772,8.25,8.14,"Wi-Fi, Bluetooth",Asset protection
Emerson Dehumidifier,HVAC,9996,9.41,8.69,"HomeKit, Google Home, Matter",Energy-efficient heating
Schlage Flood Sensor,Security,7311,7.42,7.18,"Zigbee, Matter",Emergency detection
SolarEdge Battery System,Energy Management,4005,8.21,7.16,"Wi-Fi, HomeKit",Power management
Wyze Security Camera,Security,16218,10.0,9.9,"Google Home, Alexa, Matter",Emergency detection
Schlage Motion Sensor,Security,3139,6.34,5.25,"Wi-Fi, Bluetooth",Asset protection
Eufy Garage Door Controller,Security,9852,8.51,7.33,"Zigbee, Matter",Access control
Kasa Solar Controller,Energy Management,3616,8.52,6.64,"Zigbee, Matter",Load balancing
Mitsubishi HVAC Zoning System,HVAC,8442,7.4,8.12,"Zigbee, Matter",Allergen reduction
Cielo Ventilation Controller,HVAC,10455,8.0,9.3,"Zigbee, Matter",Air quality management
Logitech Smart Safe,Security,10306,9.11,8.01,"Wi-Fi, Google Home, Alexa",Perimeter monitoring
Lennox HVAC Zoning System,HVAC,3784,6.3,6.75,"Wi-Fi, Google Home, Alexa",Humidity control
Sylvania Smart Bulb,Lighting,3606,7.27,7.51,"Wi-Fi, Bluetooth",Task lighting
Fujitsu Air Quality Monitor,HVAC,10716,8.08,9.13,"Z-Wave, Alexa",Humidity control
Yale Glass Break Detector,Security,5847,7.82,6.77,"Wi-Fi, Bluetooth",Intrusion detection
Wyze Garden Light,Lighting,1771,6.03,6.85,"Google Home, Alexa, Matter",Decorative lighting
Curb Grid Tie Inverter,Energy Management,3182,7.87,6.36,"Z-Wave, Alexa",Energy monitoring
Curb Power Strip,Energy Management,1774,7.09,5.97,"Wi-Fi, Google Home, Alexa",Consumption tracking
Mitsubishi Ventilation Controller,HVAC,7777,7.33,8.14,"Wi-Fi, Bluetooth",Allergen reduction
Fujitsu Ventilation Controller,HVAC,5491,7.11,6.74,"Wi-Fi, Google Home, Alexa",Allergen reduction
Rheem Air Quality Monitor,HVAC,7691,7.71,7.4,"Wi-Fi, HomeKit",Energy-efficient heating
Span Solar Controller,Energy Management,7115,9.5,8.66,"HomeKit, Google Home, Matter",Load balancing
Sylvania Wall Sconce,Lighting,4942,8.48,8.81,"HomeKit, Alexa",Circadian rhythm lighting
Sense Power Strip,Energy Management,7999,10.0,9.12,"HomeKit, Google Home, Matter",Consumption tracking
Emerson Radiant Floor Controller,HVAC,4693,6.4,6.43,"Zigbee, Matter",Climate control
Wyze Smoke Detector,Security,7906,7.7,7.2,"Google Home, Alexa, Matter",Door security
Ring Perimeter Sensor,Security,3275,7.43,6.04,"Thread, Matter",Asset protection
Wyze Glass Break Detector,Security,3664,6.69,5.78,"Zigbee, Matter",Safety monitoring
Ring Smoke Detector,Security,5659,7.26,6.95,"Wi-Fi, Bluetooth",Asset protection
Kangaroo Motion Sensor,Security,5672,6.88,6.79,"Thread, Matter",Intrusion detection
Ecobee Dehumidifier,HVAC,6564,7.95,7.89,"HomeKit, Alexa",Climate control
Abode Smart Lock,Security,3080,6.13,6.24,"Zigbee, Z-Wave",Asset protection
Kwikset Alarm System,Security,6897,7.26,6.98,"Wi-Fi, HomeKit",Access control
Emporia Solar Controller,Energy Management,9053,10.0,9.76,"HomeKit, Google Home, Matter",Energy optimization
Daikin Heater,HVAC,8617,6.52,7.84,"Wi-Fi, HomeKit",Climate control
Ecobee Heat Pump Controller,HVAC,11878,8.16,9.56,"HomeKit, Google Home, Matter",Humidity control
Meross Ceiling Light,Lighting,3649,7.92,7.92,"Z-Wave, Alexa",Ambiance management
Abode Garage Door Controller,Security,12957,9.04,8.98,"HomeKit, Google Home, Matter",Emergency detection
Sensibo Radiant Floor Controller,HVAC,5839,6.98,7.31,"Thread, Matter",Air quality management
Yeelight Smart Bulb,Lighting,1651,5.81,6.54,"Zigbee, Z-Wave",Decorative lighting
Daikin Temperature Sensor,HVAC,4027,6.3,6.23,"Wi-Fi, Bluetooth",Climate control
Arlo Smart Safe,Security,14190,9.71,9.42,"HomeKit, Alexa",Door security
SimpliSafe Alarm System,Security,9286,7.94,7.85,"HomeKit, Google Home, Matter",Emergency detection
Arlo Smoke Detector,Security,6380,7.39,6.8,"Thread, Matter",Asset protection
Dyson Air Quality Monitor,HVAC,12450,9.78,9.89,"Google Home, Alexa, Matter",Ventilation management
Cielo Humidifier,HVAC,2417,5.63,5.15,"Zigbee, Matter",Allergen reduction
Mitsubishi AC Controller,HVAC,3825,6.52,6.67,"Wi-Fi, Google Home, Alexa",Humidity control
Tuya Color Light,Lighting,1212,6.24,5.67,"Wi-Fi, HomeKit",Automated lighting
Bosch HVAC Zoning System,HVAC,10164,8.03,8.6,"HomeKit, Google Home, Matter",Zoned climate control
Span Energy Monitor,Energy Management,3704,8.87,7.29,"Zigbee, Z-Wave",Load balancing
Abode Security Camera,Security,4872,6.45,5.89,"Z-Wave, Alexa",Door security
Wiz Floor Lamp,Lighting,2943,7.66,7.09,"Z-Wave, Alexa",Task lighting
Reolink Smoke Detector,Security,6132,7.82,6.33,"Wi-Fi, HomeKit",Remote surveillance
Kasa Floor Lamp,Lighting,3126,7.4,7.37,"Zigbee, Z-Wave",Automated lighting
LG Air Quality Monitor,HVAC,10787,8.37,9.3,"Wi-Fi, Google Home, Alexa",Ventilation management
Rheem Heater,HVAC,2698,5.9,5.74,"Zigbee, Z-Wave",Energy-efficient heating
Schlage Garage Door Controller,Security,6532,7.67,6.97,"HomeKit, Alexa",Emergency detection
Tado Heat Pump Controller,HVAC,8486,8.22,8.74,"Google Home, Alexa, Matter",Humidity control
ADT Garage Door Controller,Security,9338,8.72,7.89,"Wi-Fi, Google Home, Alexa",Perimeter monitoring
Eufy Alarm System,Security,14558,10.0,9.48,"HomeKit, Google Home, Matter",Access control
Nest AC Controller,HVAC,9498,8.29,8.83,"Zigbee, Matter",Temperature regulation
Meross Mood Light,Lighting,3339,7.73,7.47,"Wi-Fi, Google Home, Alexa",Ambiance management
Cielo Air Quality Monitor,HVAC,7293,7.18,7.68,"Zigbee, Z-Wave",Allergen reduction
Span Solar Controller,Energy Management,8738,10.0,9.44,"Wi-Fi, HomeKit",Power management
Nest Doorbell Camera,Security,17148,10.0,10.0,"Google Home, Alexa, Matter",Intrusion detection
Arlo Window Sensor,Security,3388,7.21,5.64,"Wi-Fi, Bluetooth",Asset protection
Bosch Ceiling Fan,HVAC,10702,8.62,9.23,"Wi-Fi, Google Home, Alexa",Allergen reduction
Wyze CO Detector,Security,3827,6.58,5.86,"Z-Wave, Alexa",Access control
Wyze Pathway Light,Lighting,3723,7.15,8.22,"Wi-Fi, Bluetooth",Automated lighting
Eufy Doorbell Camera,Security,9727,8.23,7.25,"HomeKit, Alexa",Safety monitoring
Wiz Smart Bulb,Lighting,5068,8.87,8.7,"Zigbee, Matter",Task lighting
Yale Smart Lock,Security,11773,9.44,8.7,"Z-Wave, Alexa",Access control
Honeywell Air Quality Monitor,HVAC,11086,9.19,9.37,"Wi-Fi, Google Home, Alexa",Humidity control
Emerson HVAC Zoning System,HVAC,13188,9.2,9.55,"HomeKit, Google Home, Matter",Ventilation management
Abode Motion Sensor,Security,3531,7.06,5.71,"HomeKit, Google Home, Matter",Intrusion detection
Yeelight Wall Sconce,Lighting,5829,9.93,9.28,"HomeKit, Google Home, Matter",Task lighting
Bosch Radiant Floor Controller,HVAC,9316,8.15,8.43,"Google Home, Alexa, Matter",Energy-efficient heating
Nest Doorbell Camera,Security,11344,9.31,8.51,"Zigbee, Z-Wave",Asset protection
Philips Hue Floor Lamp,Lighting,5240,9.9,9.54,"Wi-Fi, Bluetooth",Circadian rhythm lighting
Tuya Track Light,Lighting,4286,8.92,7.97,"HomeKit, Alexa",Circadian rhythm lighting
Cielo HVAC Zoning System,HVAC,10114,8.3,9.04,"Google Home, Alexa, Matter",Climate control
Arlo Alarm System,Security,4417,6.64,5.97,"Zigbee, Z-Wave",Intrusion detection
Bosch AC Controller,HVAC,9819,7.39,8.47,"Google Home, Alexa, Matter",Temperature regulation
Arlo Alarm System,Security,4289,6.24,6.18,"Wi-Fi, Google Home, Alexa",Asset protection
Curb Smart Plug,Energy Management,3708,7.77,6.93,"HomeKit, Google Home, Matter",Demand response
Cielo Humidifier,HVAC,3581,6.73,5.61,"Wi-Fi, HomeKit",Allergen reduction
August Flood Sensor,Security,4683,7.39,6.66,"Wi-Fi, Bluetooth",Access control
Sylvania Under Cabinet Light,Lighting,5772,9.22,8.97,"HomeKit, Alexa",Energy-efficient lighting
Sengled Outdoor Light,Lighting,5269,9.13,8.61,"Wi-Fi, Google Home, Alexa",Automated lighting
Lutron Smart Meter,Energy Management,5358,9.33,7.52,"Zigbee, Matter",Consumption tracking
Carrier Ventilation Controller,HVAC,7784,7.48,8.18,"Wi-Fi, Google Home, Alexa",Ventilation management
Curb Smart Switch,Energy Management,8466,10.0,9.08,"HomeKit, Alexa",Consumption tracking
Sense Load Controller,Energy Management,7789,10.0,9.12,"HomeKit, Google Home, Matter",Power management
Mitsubishi Dehumidifier,HVAC,5636,6.65,6.47,"Wi-Fi, Google Home, Alexa",Energy-efficient heating
Reolink Security Camera,Security,9747,8.19,7.54,"Zigbee, Matter",Intrusion detection
Kwikset Alarm System,Security,11689,9.36,8.1,"Wi-Fi, Google Home, Alexa",Remote surveillance
Eve Grid Tie Inverter,Energy Management,3023,7.82,6.31,"Google Home, Alexa, Matter",Demand response
Mitsubishi Smart Thermostat,HVAC,2770,6.24,5.83,"Wi-Fi, HomeKit",Allergen reduction
Sense EV Charger,Energy Management,2277,7.65,6.45,"Thread, Matter",Energy optimization
Cree Recessed Light,Lighting,3614,8.49,7.93,"Wi-Fi, Google Home, Alexa",Ambiance management
Kangaroo Flood Sensor,Security,6530,7.72,7.03,"Wi-Fi, HomeKit",Door security
August Smart Safe,Security,11199,9.36,8.26,"Thread, Matter",Perimeter monitoring
Kwikset Garage Door Controller,Security,10691,8.45,8.16,"Wi-Fi, Google Home, Alexa",Perimeter monitoring
ChargePoint Energy Display,Energy Management,3217,7.99,5.88,"Wi-Fi, Bluetooth",Peak shaving
Wemo Smart Meter,Energy Management,8327,10.0,9.32,"HomeKit, Google Home, Matter",Power management
Daikin AC Controller,HVAC,6177,6.28,7.15,"Zigbee, Matter",Climate control
Wyze Under Cabinet Light,Lighting,3831,8.09,7.69,"HomeKit, Alexa",Task lighting
Nest Smart Lock,Security,10160,9.09,8.02,"Google Home, Alexa, Matter",Emergency detection
Yale Motion Sensor,Security,5823,7.62,5.94,"Z-Wave, Alexa",Asset protection
Tado Air Purifier,HVAC,9830,8.39,8.35,"Zigbee, Z-Wave",Climate control
Yale Smart Safe,Security,13639,9.92,8.98,"Wi-Fi, Google Home, Alexa",Remote surveillance
Govee Desk Lamp,Lighting,4066,8.39,8.02,"Google Home, Alexa, Matter",Task lighting
Tuya Garden Light,Lighting,4956,8.59,8.46,"Zigbee, Matter",Circadian rhythm lighting
Feit Electric Desk Lamp,Lighting,4700,8.65,8.35,"Zigbee, Z-Wave",Circadian rhythm lighting
Kangaroo Security Camera,Security,10126,8.95,7.85,"HomeKit, Alexa",Access control
Arlo Smoke Detector,Security,3968,7.7,5.98,"Zigbee, Z-Wave",Safety monitoring
ADT Security Camera,Security,10990,8.86,7.95,"Thread, Matter",Door security
Ecobee AC Controller,HVAC,17248,10.0,10.0,"Z-Wave, Alexa",Temperature regulation
Eve Solar Controller,Energy Management,3076,7.85,6.56,"Google Home, Alexa, Matter",Peak shaving
Nanoleaf Wall Sconce,Lighting,855,6.99,5.45,"Thread, Matter",Ambiance management
Rheem AC Controller,HVAC,11150,9.41,9.24,"Google Home, Alexa, Matter",Temperature regulation
Lennox Temperature Sensor,HVAC,6221,7.32,7.33,"Wi-Fi, HomeKit",Zoned climate control
Feit Electric Ceiling Light,Lighting,2331,6.98,6.39,"Wi-Fi, Google Home, Alexa",Circadian rhythm lighting
Reolink Facial Recognition Camera,Security,10632,8.43,8.03,"Wi-Fi, HomeKit",Access control
Kangaroo Doorbell Camera,Security,9500,8.39,7.73,"HomeKit, Alexa",Perimeter monitoring
ChargePoint Energy Display,Energy Management,3176,7.26,6.58,"HomeKit, Google Home, Matter",Peak shaving
Arlo Security Camera,Security,7346,8.53,7.32,"Zigbee, Z-Wave",Remote surveillance
Bosch AC Controller,HVAC,11258,8.62,9.86,"HomeKit, Google Home, Matter",Zoned climate control
Logitech Smart Lock,Security,8871,9.23,7.84,"Wi-Fi, Bluetooth",Safety monitoring
Lennox Air Quality Monitor,HVAC,9943,8.87,9.27,"HomeKit, Google Home, Matter",Ventilation management
Yeelight Smart Bulb,Lighting,3272,7.95,7.31,"HomeKit, Alexa",Task lighting
August Flood Sensor,Security,4478,7.05,6.14,"Wi-Fi, Bluetooth",Asset protection
Fujitsu Ventilation Controller,HVAC,6812,6.94,7.05,"Wi-Fi, Google Home, Alexa",Air quality management
Fujitsu Air Quality Monitor,HVAC,8767,7.72,8.08,"HomeKit, Google Home, Matter",Energy-efficient heating
Kangaroo Smoke Detector,Security,4397,7.05,5.86,"Wi-Fi, Google Home, Alexa",Safety monitoring
Feit Electric Under Cabinet Light,Lighting,1863,6.79,6.59,"HomeKit, Google Home, Matter",Security lighting
Kangaroo Doorbell Camera,Security,16112,10.0,9.94,"Zigbee, Matter",Perimeter monitoring
Ecobee Humidifier,HVAC,5722,7.13,7.66,"Google Home, Alexa, Matter",Temperature regulation
TP-Link Recessed Light,Lighting,5089,9.7,9.29,"Wi-Fi, HomeKit",Ambiance management
Emerson Humidifier,HVAC,8316,7.45,8.2,"Zigbee, Z-Wave",Humidity control
Philips Hue Color Light,Lighting,2468,6.76,7.47,"HomeKit, Alexa",Circadian rhythm lighting
GE Wall Sconce,Lighting,5427,8.93,8.97,"Zigbee, Matter",Ambiance management
Feit Electric Smart Bulb,Lighting,5549,9.45,8.65,"Google Home, Alexa, Matter",Automated lighting
LIFX Wall Sconce,Lighting,5034,8.77,8.9,"Z-Wave, Alexa",Energy-efficient lighting
Honeywell Radiant Floor Controller,HVAC,6744,6.86,6.76,"Zigbee, Matter",Allergen reduction
Arlo CO Detector,Security,2260,6.84,5.25,"Z-Wave, Alexa",Remote surveillance
Kasa Smart Plug,Energy Management,1520,7.11,5.36,"Wi-Fi, Bluetooth",Energy optimization
Kasa Desk Lamp,Lighting,2838,7.29,7.12,"Wi-Fi, Bluetooth",Decorative lighting
SimpliSafe Smoke Detector,Security,3604,6.96,5.67,"Zigbee, Z-Wave",Perimeter monitoring
Govee Ceiling Light,Lighting,3435,8.04,7.47,"Zigbee, Z-Wave",Security lighting
Rheem AC Controller,HVAC,6391,7.5,7.33,"HomeKit, Google Home, Matter",Ventilation management
Emerson HVAC Zoning System,HVAC,11007,8.87,9.31,"Google Home, Alexa, Matter",Ventilation management
Kangaroo Alarm System,Security,17889,10.0,10.0,"Google Home, Alexa, Matter",Asset protection
Cree Outdoor Light,Lighting,3698,8.07,8.35,"Zigbee, Z-Wave",Circadian rhythm lighting
Meross Color Light,Lighting,5027,9.17,8.24,"HomeKit, Google Home, Matter",Ambiance management
Wyze Outdoor Light,Lighting,3249,7.55,7.77,"Wi-Fi, Google Home, Alexa",Security lighting
Mitsubishi Humidifier,HVAC,8943,7.18,8.17,"Zigbee, Matter",Climate control
Juicebox Power Optimizer,Energy Management,6342,10.0,7.66,"Thread, Matter",Energy monitoring
Sensibo Heater,HVAC,4192,6.17,6.62,"HomeKit, Alexa",Humidity control
Arlo Facial Recognition Camera,Security,5747,6.49,6.97,"Wi-Fi, Google Home, Alexa",Emergency detection
Abode Perimeter Sensor,Security,4626,6.5,6.52,"Wi-Fi, Google Home, Alexa",Safety monitoring
TP-Link Power Optimizer,Energy Management,6767,10.0,8.35,"HomeKit, Google Home, Matter",Renewable integration
ADT Perimeter Sensor,Security,2922,6.42,5.76,"Zigbee, Z-Wave",Emergency detection
Kasa Ceiling Light,Lighting,1920,7.14,6.58,"HomeKit, Alexa",Ambiance management
Honeywell Smart Thermostat,HVAC,4336,6.35,6.29,"Zigbee, Z-Wave",Humidity control
Blink Motion Sensor,Security,6612,7.51,7.06,"Wi-Fi, HomeKit",Access control
Honeywell Humidifier,HVAC,8028,7.5,7.62,"HomeKit, Alexa",Temperature regulation
Honeywell Smart Thermostat,HVAC,5228,6.22,7.68,"Zigbee, Matter",Energy-efficient heating
Kangaroo CO Detector,Security,4371,7.41,6.39,"Google Home, Alexa, Matter",Asset protection
LG Temperature Sensor,HVAC,1694,5.93,5.98,"HomeKit, Alexa",Ventilation management
Cielo Humidifier,HVAC,2793,5.47,5.44,"HomeKit, Google Home, Matter",Energy-efficient heating
Nest CO Detector,Security,6966,7.71,7.53,"Thread, Matter",Door security
Carrier Heat Pump Controller,HVAC,14397,9.48,9.76,"HomeKit, Alexa",Energy-efficient heating
Wiz Pathway Light,Lighting,3149,7.89,7.37,"HomeKit, Alexa",Energy-efficient lighting
LG Ceiling Fan,HVAC,9783,9.2,8.65,"HomeKit, Alexa",Climate control
Ecobee Dehumidifier,HVAC,12572,9.46,10.0,"Wi-Fi, HomeKit",Allergen reduction
Bosch Humidifier,HVAC,9147,8.71,8.54,"HomeKit, Google Home, Matter",Ventilation management
Eufy Alarm System,Security,14877,9.72,9.85,"Wi-Fi, HomeKit",Remote surveillance
Juicebox Power Strip,Energy Management,7224,10.0,8.44,"HomeKit, Google Home, Matter",Power management
Honeywell Ventilation Controller,HVAC,6368,6.99,7.48,"Wi-Fi, Google Home, Alexa",Ventilation management
Mitsubishi Ceiling Fan,HVAC,7732,7.53,8.12,"HomeKit, Google Home, Matter",Air quality management
Emerson Ventilation Controller,HVAC,8031,6.98,8.34,"Zigbee, Z-Wave",Zoned climate control
Sense Consumption Monitor,Energy Management,2532,8.03,6.01,"HomeKit, Alexa",Load balancing
August Motion Sensor,Security,7053,7.41,7.53,"Wi-Fi, HomeKit",Perimeter monitoring
Kangaroo Perimeter Sensor,Security,8387,8.48,7.41,"Wi-Fi, Google Home, Alexa",Emergency detection
Rheem Air Purifier,HVAC,10577,7.88,8.1,"Google Home, Alexa, Matter",Climate control
Carrier Heat Pump Controller,HVAC,9490,7.52,8.42,"HomeKit, Alexa",Temperature regulation
Tuya Desk Lamp,Lighting,5771,9.27,9.42,"HomeKit, Google Home, Matter",Lighting control
Emporia Power Strip,Energy Management,5320,7.77,7.6,"Zigbee, Matter",Demand response
Nest Heat Pump Controller,HVAC,11504,9.24,9.59,"Google Home, Alexa, Matter",Allergen reduction
Meross Recessed Light,Lighting,5898,9.02,9.58,"Wi-Fi, Google Home, Alexa",Energy-efficient lighting
Logitech Perimeter Sensor,Security,7203,8.73,6.52,"Z-Wave, Alexa",Perimeter monitoring
Tuya Floor Lamp,Lighting,1141,7.26,5.78,"Z-Wave, Alexa",Task lighting
LG Heater,HVAC,11181,8.4,9.37,"HomeKit, Alexa",Energy-efficient heating
Nest HVAC Zoning System,HVAC,13262,9.26,9.87,"HomeKit, Google Home, Matter",Zoned climate control
Carrier AC Controller,HVAC,7524,7.87,7.59,"Zigbee, Z-Wave",Air quality management
LG Air Purifier,HVAC,9186,8.57,7.58,"Wi-Fi, Google Home, Alexa",Energy-efficient heating
Dyson Dehumidifier,HVAC,8229,7.45,7.42,"Zigbee, Z-Wave",Climate control
Honeywell Air Purifier,HVAC,11138,8.56,9.04,"Google Home, Alexa, Matter",Ventilation management
GE Wall Sconce,Lighting,4950,8.73,8.85,"HomeKit, Alexa",Automated lighting
Daikin Ceiling Fan,HVAC,3481,6.04,6.38,"HomeKit, Alexa",Air quality management
Arlo Perimeter Sensor,Security,6064,7.87,7.02,"Wi-Fi, Bluetooth",Door security
Sense Energy Gateway,Energy Management,2032,6.72,6.03,"HomeKit, Alexa",Demand response
GE Pathway Light,Lighting,3290,8.7,7.46,"HomeKit, Google Home, Matter",Task lighting
Yale Garage Door Controller,Security,7060,8.16,7.01,"Wi-Fi, Bluetooth",Remote surveillance
Rheem Heat Pump Controller,HVAC,6675,7.0,7.3,"Z-Wave, Alexa",Humidity control
Reolink Perimeter Sensor,Security,4143,6.97,6.04,"Zigbee, Z-Wave",Safety monitoring
Curb Smart Meter,Energy Management,8157,9.98,9.42,"Wi-Fi, Bluetooth",Renewable integration
